SurveyId,Country,OptInDate,BirthYear,Age,AgeGroup,Gender,Region,District,Urban_Rural,WaterSupply_Tap,WaterSupply_Standpipe,WaterSupply_Well,WaterSupply_Bottled water/sachet,WaterSupply_Tanker,WaterSupply_Cart vendor,WaterSupply_Rainwater,WaterSupply_Spring/River,FlowDays,FlowHours,SourceLocation,WaterPay,WaterChange,WaterSupplyBefore_Tap,WaterSupplyBefore_ Standpipe,WaterSupplyBefore_Well,WaterSupplyBefore_ Bottled water/sachet,WaterSupplyBefore_Tanker,WaterSupplyBefore_Cart vendor,WaterSupplyBefore_Rainwater,WaterSupplyBefore_Spring/River,FlowDaysBefore,FlowHoursBefore,WaterPayBefore
UPS4668008094938604638,Ghana,11-18-2020,1991,29,25-40,Male,Volta,Ketu North,Urban area [city/town],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,20,Easier,Yes,No,No,No,No,No,No,No,4,6,30
UPS-9038035716586929060,Ghana,11-17-2020,1995,25,25-40,Male,Northern,Tatale Sanguli,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,50,More difficult,No,No,No,No,No,No,Yes,No,0,0,30
UPS-6392593697324456450,Ghana,11-17-2020,1999,21,15-24,Male,Brong-Ahafo,Asutifi North,Urban area [city/town],Yes,No,No,No,No,No,No,No,7,6,In my home or compound,5,The same as before,Yes,No,No,No,No,No,No,No,7,6,5
UPS-8973682794264635415,Ghana,11-23-2020,1996,24,15-24,Female,Northern,Nanton,Rural area [village/farm],No,Yes,No,No,No,No,No,No,3,5,I must walk to it,20,Easier,No,Yes,No,No,No,No,No,No,3,5,0
UPS640786797323126235,Ghana,11-24-2020,1997,23,15-24,Male,Northern,Kpandai,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,Neighbor,1,Easier,No,Yes,No,No,No,No,No,No,0,1,1
UPS-1541904697122272421,Ghana,11-23-2020,1997,23,15-24,Female,Brong-Ahafo,Wenchi,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,6,The same as before,No,No,No,Yes,No,No,No,No,0,0,6
UPS-157389182886163088,Ghana,11-20-2020,1988,32,25-40,Female,Brong-Ahafo,Nkoranza South,Urban area [city/town],Yes,No,No,No,No,No,No,No,7,22,In my home or compound,0,Easier,Yes,No,No,No,No,No,No,No,7,23,11
UPS6428668433112481618,Ghana,11-24-2020,1992,28,25-40,Male,Northern,Tatale Sanguli,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,Neighbor,0,The same as before,No,No,Yes,No,No,No,No,No,0,0,0
UPS1435621070923898211,Ghana,11-17-2020,1987,33,25-40,Male,Northern,Nanton,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,Neighbor,30,The same as before,Yes,No,No,No,No,No,No,No,0,1,30
UPS-625400782080958610,Ghana,11-17-2020,1990,30,25-40,Female,Volta,Central Tongu,Urban area [city/town],No,Yes,No,No,No,No,No,No,5,12,In my home or compound,25,The same as before,No,No,No,No,No,No,Yes,No,0,0,20
UPS6825027059178030438,Ghana,11-23-2020,1991,29,25-40,Male,Volta,Afadzato South,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,I must walk to it,20,The same as before,No,No,No,Yes,No,No,No,No,0,0,20
UPS6947364390560819575,Ghana,11-19-2020,1993,27,25-40,Male,Volta,Central Tongu,Rural area [village/farm],No,Yes,No,No,No,No,No,No,5,8,I must walk to it,6,The same as before,No,Yes,No,No,No,No,No,No,6,10,5
UPS-5348328260807518006,Ghana,11-24-2020,1989,31,25-40,Male,Volta,Ho West,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,4,The same as before,No,No,No,No,No,No,No,Yes,0,0,4
UPS1192737886627084761,Ghana,11-21-2020,1986,34,25-40,Male,Volta,Ho West,Rural area [village/farm],Yes,No,No,No,No,No,No,No,1,24,In my home or compound,0,The same as before,Yes,No,No,No,No,No,No,No,3,24,70
UPS8366816749442639658,Ghana,11-25-2020,1986,34,25-40,Male,Brong-Ahafo,Nkoranza South,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,Neighbor,20,More difficult,No,No,No,Yes,No,No,No,No,0,0,10
UPS8755882527415547691,Ghana,11-17-2020,1988,32,25-40,Male,Brong-Ahafo,Nkoranza North,Rural area [village/farm],No,Yes,No,No,No,No,No,No,6,19,I must walk to it,9,The same as before,No,Yes,No,No,No,No,No,No,6,19,9
UPS-1945579762897893227,Ghana,11-19-2020,1993,27,25-40,Male,Northern,West Gonja,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,6,More difficult,No,No,Yes,No,No,No,No,No,0,0,2
UPS-6609132276506101221,Ghana,11-24-2020,1979,41,40+,Male,Northern,Zabzugu,Urban area [city/town],Yes,No,No,No,No,No,No,No,3,24,In my home or compound,0,The same as before,No,Yes,No,No,No,No,No,No,5,24,60
UPS-824777937563008810,Ghana,11-20-2020,1997,23,15-24,Female,Volta,Afadzato South,Urban area [city/town],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,0,The same as before,No,No,No,Yes,No,No,No,No,0,0,20
UPS1759426581441055526,Ghana,11-23-2020,1988,32,25-40,Male,Brong-Ahafo,Asutifi South,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,1,The same as before,No,No,Yes,No,No,No,No,No,0,0,1
UPS4492774014516059820,Ghana,11-23-2020,1991,29,25-40,Male,Brong-Ahafo,Asutifi North,Urban area [city/town],Yes,No,No,No,No,No,No,No,4,6,Neighbor,15,More difficult,Yes,No,No,No,No,No,No,No,5,8,23
UPS8266160266733894202,Ghana,11-24-2020,2001,19,15-24,Male,Northern,Nanumba South,Urban area [city/town],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,0,The same as before,No,No,No,No,No,No,No,Yes,0,0,0
UPS749394848248033672,Ghana,11-20-2020,1962,58,40+,Female,Northern,West Gonja,Urban area [city/town],No,No,Yes,No,No,No,No,No,0,0,Neighbor,60,More difficult,No,Yes,No,No,No,No,No,No,3,3,30
UPS3667164071208519835,Ghana,11-23-2020,1991,29,25-40,Female,Brong-Ahafo,Nkoranza South,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,20,More difficult,No,No,No,Yes,No,No,No,No,0,0,10
UPS-1361914359816085670,Ghana,11-18-2020,1983,37,25-40,Male,Northern,West Gonja,Urban area [city/town],No,No,No,No,Yes,No,No,No,0,0,I must walk to it,400,The same as before,No,No,No,No,Yes,No,No,No,0,0,400
UPS-5361538989634214465,Ghana,11-23-2020,2001,19,15-24,Female,Northern,Nanumba South,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,I must walk to it,300,More difficult,No,No,Yes,No,No,No,No,No,0,0,300
UPS-2920885648262325841,Ghana,11-25-2020,1994,26,25-40,Male,Northern,Sawla Tuna Kalba,Urban area [city/town],No,Yes,No,No,No,No,No,No,2,7,Neighbor,35,More difficult,No,Yes,No,No,No,No,No,No,3,8,25
UPS-8790900130419599987,Ghana,11-17-2020,1999,21,15-24,Male,Brong-Ahafo,Dormaa West,Urban area [city/town],No,Yes,No,No,No,No,No,No,5,19,I must walk to it,90,The same as before,No,Yes,No,No,No,No,No,No,6,16,90
UPS-2039000108371897278,Ghana,11-18-2020,1992,28,25-40,Male,Volta,Ho West,Urban area [city/town],Yes,No,No,No,No,No,No,No,5,17,I must walk to it,5,Easier,Yes,No,No,No,No,No,No,No,7,24,10
UPS-8040950270272412172,Ghana,11-17-2020,1980,40,25-40,Male,Volta,Kadjebi,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,40,The same as before,Yes,No,No,No,No,No,No,No,4,4,40
UPS-2437838096314080700,Ghana,11-23-2020,1981,39,25-40,Female,Brong-Ahafo,Asutifi South,Rural area [village/farm],No,Yes,No,No,No,No,No,No,7,12,I must walk to it,2,The same as before,No,Yes,No,No,No,No,No,No,7,12,2
UPS-8261038817744512545,Ghana,11-17-2020,1988,32,25-40,Male,Brong-Ahafo,Asutifi North,Rural area [village/farm],No,Yes,No,No,No,No,No,No,7,19,I must walk to it,0,The same as before,No,Yes,No,No,No,No,No,No,7,7,20
UPS-5818633480821240604,Ghana,11-25-2020,1990,30,25-40,Male,Brong-Ahafo,Kintampo North,Urban area [city/town],No,No,Yes,No,No,No,No,No,0,0,In my home or compound,0,The same as before,No,No,Yes,No,No,No,No,No,0,0,0
UPS2768920330186812337,Ghana,11-21-2020,1989,31,25-40,Male,Brong-Ahafo,Dormaa West,Rural area [village/farm],Yes,No,No,No,No,No,No,No,6,10,In my home or compound,0,The same as before,Yes,No,No,No,No,No,No,No,7,20,15
UPS-6110764625911651808,Ghana,11-24-2020,1989,31,25-40,Female,Northern,West Gonja,Urban area [city/town],Yes,No,No,No,No,No,No,No,2,24,In my home or compound,30,Easier,Yes,No,No,No,No,No,No,No,3,24,30
UPS2357156465887813635,Ghana,11-22-2020,1998,22,15-24,Male,Brong-Ahafo,Nkoranza South,Urban area [city/town],No,Yes,No,No,No,No,No,No,7,23,In my home or compound,313,Easier,No,Yes,No,No,No,No,No,No,5,20,401
UPS-9124920130284669165,Ghana,11-20-2020,1991,29,25-40,Female,Brong-Ahafo,Asutifi South,Rural area [village/farm],Yes,No,No,No,No,No,No,No,7,15,I must walk to it,200,The same as before,No,No,No,No,No,No,Yes,No,0,0,200
UPS7511601656034815968,Ghana,11-24-2020,1990,30,25-40,Male,Brong-Ahafo,Wenchi,Urban area [city/town],No,Yes,No,No,No,No,No,No,2,6,Neighbor,0,Easier,No,No,Yes,No,No,No,No,No,0,0,20
UPS4757996745702368826,Ghana,11-25-2020,1986,34,25-40,Male,Northern,Zabzugu,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,15,The same as before,No,No,No,Yes,No,No,No,No,0,0,15
UPS2090546348634773425,Ghana,11-17-2020,1993,27,25-40,Female,Volta,Ketu North,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,Neighbor,10,More difficult,No,No,Yes,No,No,No,No,No,0,0,5
UPS-495557532924694738,Ghana,11-20-2020,1990,30,25-40,Male,Brong-Ahafo,Wenchi,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,20,The same as before,No,No,No,Yes,No,No,No,No,0,0,20
UPS8153036806159189559,Ghana,11-25-2020,1989,31,25-40,Male,Northern,Sawla Tuna Kalba,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,Neighbor,10,The same as before,No,No,Yes,No,No,No,No,No,0,0,10
UPS2357341647739270192,Ghana,11-23-2020,2002,18,15-24,Male,Northern,West Gonja,Rural area [village/farm],No,No,No,No,No,Yes,No,No,0,0,I must walk to it,0,More difficult,No,No,Yes,No,No,No,No,No,0,0,0
UPS2390794477936237887,Ghana,11-24-2020,1995,25,25-40,Male,Brong-Ahafo,Nkoranza North,Urban area [city/town],Yes,No,No,No,No,No,No,No,6,12,I must walk to it,30,Easier,No,Yes,No,No,No,No,No,No,6,12,40
UPS5120965812937795411,Ghana,11-23-2020,1990,30,25-40,Male,Volta,Ho West,Urban area [city/town],Yes,No,No,No,No,No,No,No,1,2,In my home or compound,30,More difficult,Yes,No,No,No,No,No,No,No,5,24,20
UPS-3615325993862671765,Ghana,11-17-2020,1991,29,25-40,Male,Volta,Afadzato South,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,0,The same as before,No,No,No,No,No,No,Yes,No,0,0,0
UPS7735760498308144307,Ghana,11-21-2020,1995,25,25-40,Female,Northern,West Gonja,Urban area [city/town],Yes,No,No,No,No,No,No,No,1,24,Neighbor,20,The same as before,No,No,No,No,Yes,No,No,No,0,0,0
UPS4092057114251078111,Ghana,11-25-2020,1985,35,25-40,Male,Northern,Sawla Tuna Kalba,Rural area [village/farm],No,Yes,No,No,No,No,No,No,0,4,I must walk to it,20,The same as before,No,Yes,No,No,No,No,No,No,5,4,30
UPS-3357507436749968038,Ghana,11-19-2020,1980,40,25-40,Male,Volta,Afadzato South,Urban area [city/town],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,8,Easier,No,No,No,No,No,No,No,Yes,0,0,24
UPS4012543832044247773,Ghana,11-24-2020,2000,20,15-24,Male,Brong-Ahafo,Wenchi,Urban area [city/town],No,Yes,No,No,No,No,No,No,7,7,In my home or compound,0,Easier,No,Yes,No,No,No,No,No,No,7,24,20
UPS6180505820606239556,Ghana,11-24-2020,1999,21,15-24,Male,Northern,Nanton,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,60,The same as before,No,No,Yes,No,No,No,No,No,0,0,20
UPS-4364068478621140144,Ghana,11-24-2020,1992,28,25-40,Male,Northern,Zabzugu,Rural area [village/farm],No,Yes,No,No,No,No,No,No,4,12,I must walk to it,250,The same as before,No,No,No,Yes,No,No,No,No,0,0,50
UPS3677151690209212267,Ghana,11-19-2020,1995,25,25-40,Female,Volta,Ho West,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,1,Easier,No,Yes,No,No,No,No,No,No,3,6,1
UPS-8189750154854811768,Ghana,11-23-2020,1995,25,25-40,Male,Northern,West Gonja,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,0,The same as before,No,No,No,No,No,No,No,Yes,0,0,0
UPS1170208041642956207,Ghana,11-25-2020,1985,35,25-40,Male,Northern,Nanton,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,50,More difficult,No,No,No,No,No,No,No,Yes,0,0,60
UPS6888475342656884569,Ghana,11-23-2020,1982,38,25-40,Male,Northern,Sawla Tuna Kalba,Urban area [city/town],No,Yes,No,No,No,No,No,No,7,24,In my home or compound,0,Easier,No,Yes,No,No,No,No,No,No,3,24,25
UPS1894746344603186173,Ghana,11-17-2020,1986,34,25-40,Male,Brong-Ahafo,Asutifi South,Rural area [village/farm],No,Yes,No,No,No,No,No,No,7,24,I must walk to it,1,The same as before,No,Yes,No,No,No,No,No,No,7,24,1
UPS1254814095048993599,Ghana,11-21-2020,1987,33,25-40,Male,Brong-Ahafo,Kintampo North,Urban area [city/town],Yes,No,No,No,No,No,No,No,5,10,In my home or compound,45,More difficult,No,No,No,Yes,No,No,No,No,0,0,2
UPS6408906675384072032,Ghana,11-21-2020,1995,25,25-40,Female,Brong-Ahafo,Asutifi South,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,I must walk to it,134,More difficult,Yes,No,No,No,No,No,No,No,4,2,4
UPS1368856043924817796,Ghana,11-20-2020,1989,31,25-40,Male,Northern,Tatale Sanguli,Urban area [city/town],No,No,No,No,No,No,No,Yes,0,0,In my home or compound,0,Easier,No,No,No,No,No,No,No,Yes,0,0,0
UPS-1960298377379632179,Ghana,11-18-2020,1972,48,40+,Female,Brong-Ahafo,Dormaa West,Urban area [city/town],Yes,No,No,No,No,No,No,No,4,4,In my home or compound,5,Easier,No,Yes,No,No,No,No,No,No,7,12,130
UPS-4536989349993708823,Ghana,11-24-2020,1990,30,25-40,Female,Volta,Ho West,Rural area [village/farm],No,Yes,No,No,No,No,No,No,3,4,I must walk to it,20,More difficult,No,No,No,No,No,No,Yes,No,0,0,10
UPS2888817464251732929,Ghana,11-24-2020,1997,23,15-24,Male,Volta,Ho West,Rural area [village/farm],Yes,No,No,No,No,No,No,No,2,5,I must walk to it,0,More difficult,No,No,No,No,No,No,Yes,No,0,0,30
UPS-2879153987438148340,Ghana,11-23-2020,1997,23,15-24,Male,Northern,West Gonja,Urban area [city/town],No,Yes,No,No,No,No,No,No,4,10,I must walk to it,275,Easier,No,No,No,No,Yes,No,No,No,0,0,420
UPS6577095168975739447,Ghana,11-25-2020,1995,25,25-40,Female,Volta,Kadjebi,Urban area [city/town],No,Yes,No,No,No,No,No,No,2,7,Neighbor,15,Easier,No,No,No,Yes,No,No,No,No,0,0,25
UPS-4557926366569088338,Ghana,11-24-2020,1989,31,25-40,Male,Volta,Ketu North,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,10,The same as before,No,No,No,No,No,No,Yes,No,0,0,10
UPS597673649993795907,Ghana,11-24-2020,1986,34,25-40,Male,Volta,Ketu North,Rural area [village/farm],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,20,More difficult,No,No,No,Yes,No,No,No,No,0,0,20
UPS-2230260254247616168,Ghana,11-16-2020,1985,35,25-40,Male,Brong-Ahafo,Nkoranza South,Urban area [city/town],Yes,No,No,No,No,No,No,No,0,5,In my home or compound,20,More difficult,Yes,No,No,No,No,No,No,No,2,2,7
UPS2005355148625441116,Ghana,11-21-2020,1994,26,25-40,Male,Northern,Nanton,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,1,Easier,No,No,No,Yes,No,No,No,No,0,0,100
UPS-5234380719692135540,Ghana,11-25-2020,1994,26,25-40,Male,Northern,West Gonja,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,0,More difficult,No,No,Yes,No,No,No,No,No,0,0,0
UPS-2365517462722532717,Ghana,11-23-2020,1997,23,15-24,Male,Northern,Nanumba South,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,200,The same as before,No,No,No,No,No,No,Yes,No,0,0,200
UPS-7209245841676678151,Ghana,11-23-2020,1990,30,25-40,Female,Northern,Tatale Sanguli,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,0,Easier,No,No,No,No,Yes,No,No,No,0,0,10
UPS-7406195469886846465,Ghana,11-25-2020,1994,26,25-40,Male,Northern,Tatale Sanguli,Rural area [village/farm],No,Yes,No,No,No,No,No,No,7,3,I must walk to it,0,Easier,No,Yes,No,No,No,No,No,No,3,2,20
UPS-2507699729335250202,Ghana,11-24-2020,1989,31,25-40,Male,Brong-Ahafo,Nkoranza North,Rural area [village/farm],No,No,No,No,Yes,No,No,No,0,0,I must walk to it,14,The same as before,No,No,No,No,Yes,No,No,No,0,0,14
UPS7372965498371313104,Ghana,11-23-2020,1999,21,15-24,Male,Northern,Kpandai,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,Neighbor,50,The same as before,No,No,No,Yes,No,No,No,No,0,0,5
UPS8107386090214506600,Ghana,11-25-2020,1990,30,25-40,Male,Northern,Nanumba South,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,150,More difficult,No,Yes,No,No,No,No,No,No,4,4,4
UPS-6688628414718356080,Ghana,11-17-2020,1996,24,15-24,Female,Northern,Nanumba South,Rural area [village/farm],No,No,No,No,Yes,No,No,No,0,0,Neighbor,200,Easier,No,No,No,No,Yes,No,No,No,0,0,200
UPS4565570848716841031,Ghana,11-24-2020,1983,37,25-40,Male,Brong-Ahafo,Nkoranza South,Urban area [city/town],No,Yes,No,No,No,No,No,No,5,12,Neighbor,300,More difficult,No,Yes,No,No,No,No,No,No,5,23,300
UPS-2050287067325284736,Ghana,11-22-2020,1991,29,25-40,Male,Northern,Nanton,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,2,The same as before,No,No,Yes,No,No,No,No,No,0,0,20
UPS-6316307129418339698,Ghana,11-24-2020,1985,35,25-40,Male,Volta,Ketu North,Urban area [city/town],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,10,The same as before,Yes,No,No,No,No,No,No,No,3,4,4
UPS1895186735771405954,Ghana,11-20-2020,1985,35,25-40,Male,Volta,Kadjebi,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,300,More difficult,No,Yes,No,No,No,No,No,No,4,8,90
UPS-6762172028894258561,Ghana,11-24-2020,1992,28,25-40,Male,Brong-Ahafo,Nkoranza South,Rural area [village/farm],No,Yes,No,No,No,No,No,No,5,15,I must walk to it,30,The same as before,No,Yes,No,No,No,No,No,No,5,15,30
UPS-5222424627444500143,Ghana,11-23-2020,1990,30,25-40,Male,Volta,Ho West,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,25,Easier,No,No,No,Yes,No,No,No,No,0,0,25
UPS-5146571485395695278,Ghana,11-23-2020,1992,28,25-40,Male,Volta,Ketu North,Rural area [village/farm],No,Yes,No,No,No,No,No,No,6,9,I must walk to it,5,Easier,No,Yes,No,No,No,No,No,No,4,7,20
UPS6944877654550014733,Ghana,11-23-2020,1995,25,25-40,Female,Northern,Nanumba South,Rural area [village/farm],Yes,No,No,No,No,No,No,No,3,24,I must walk to it,50,More difficult,No,No,No,No,Yes,No,No,No,0,0,30
UPS910868899433292648,Ghana,11-21-2020,1996,24,15-24,Female,Brong-Ahafo,Nkoranza North,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,In my home or compound,15,The same as before,No,No,No,Yes,No,No,No,No,0,0,12
UPS3124223799353867318,Ghana,11-23-2020,1993,27,25-40,Male,Volta,Ketu North,Urban area [city/town],Yes,No,No,No,No,No,No,No,2,5,In my home or compound,35,The same as before,Yes,No,No,No,No,No,No,No,2,5,35
UPS3621804018663779552,Ghana,11-21-2020,1993,27,25-40,Female,Northern,Sawla Tuna Kalba,Urban area [city/town],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,50,The same as before,Yes,No,No,No,No,No,No,No,7,9,100
UPS7677710674098848952,Ghana,11-24-2020,1992,28,25-40,Female,Volta,Kadjebi,Rural area [village/farm],No,Yes,No,No,No,No,No,No,7,24,I must walk to it,0,The same as before,No,Yes,No,No,No,No,No,No,7,24,0
UPS2842334087087226136,Ghana,11-23-2020,1960,60,40+,Male,Volta,Central Tongu,Rural area [village/farm],Yes,No,No,No,No,No,No,No,3,3,Neighbor,20,More difficult,No,No,No,No,Yes,No,No,No,0,0,50
UPS-1822301683217280160,Ghana,11-24-2020,1986,34,25-40,Male,Volta,Afadzato South,Rural area [village/farm],No,Yes,No,No,No,No,No,No,3,5,Neighbor,10,Easier,No,Yes,No,No,No,No,No,No,3,5,30
UPS3524328936650735820,Ghana,11-23-2020,2000,20,15-24,Female,Brong-Ahafo,Nkoranza South,Urban area [city/town],Yes,No,No,No,No,No,No,No,7,18,In my home or compound,30,Easier,Yes,No,No,No,No,No,No,No,7,18,30
UPS-8810347576040534924,Ghana,11-21-2020,1987,33,25-40,Female,Brong-Ahafo,Nkoranza North,Urban area [city/town],No,Yes,No,No,No,No,No,No,5,24,I must walk to it,0,Easier,No,Yes,No,No,No,No,No,No,3,5,45
UPS-7742278286951605026,Ghana,11-23-2020,2000,20,15-24,Male,Brong-Ahafo,Asutifi North,Urban area [city/town],Yes,No,No,No,No,No,No,No,5,15,In my home or compound,200,The same as before,Yes,No,No,No,No,No,No,No,5,15,2
UPS-8200905707280695704,Ghana,11-25-2020,1990,30,25-40,Male,Northern,Zabzugu,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,100,More difficult,No,No,No,No,No,Yes,No,No,0,0,5
UPS593374770845920446,Ghana,11-17-2020,1994,26,25-40,Male,Brong-Ahafo,Nkoranza North,Rural area [village/farm],No,Yes,No,No,No,No,No,No,7,24,I must walk to it,120,The same as before,No,Yes,No,No,No,No,No,No,7,24,120
UPS8653635386621166411,Ghana,11-24-2020,2000,20,15-24,Female,Brong-Ahafo,Nkoranza North,Rural area [village/farm],Yes,No,No,No,No,No,No,No,7,18,In my home or compound,30,Easier,Yes,No,No,No,No,No,No,No,7,18,30
UPS2316228877846468773,Ghana,11-19-2020,1997,23,15-24,Male,Brong-Ahafo,Asutifi North,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,2,More difficult,No,No,Yes,No,No,No,No,No,0,0,20
UPS-6138210243376197221,Ghana,11-24-2020,1997,23,15-24,Female,Volta,Kadjebi,Urban area [city/town],No,Yes,No,No,No,No,No,No,2,12,I must walk to it,40,The same as before,Yes,No,No,No,No,No,No,No,2,12,40
UPS6548858658437007694,Ghana,11-20-2020,1995,25,25-40,Male,Northern,Nanton,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,In my home or compound,100,More difficult,No,No,No,No,No,No,Yes,No,0,0,100
UPS457804886648871142,Ghana,11-17-2020,1993,27,25-40,Female,Northern,Zabzugu,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,In my home or compound,15,More difficult,Yes,No,No,No,No,No,No,No,1,6,15
UPS-3266171354168416590,Ghana,11-19-2020,1988,32,25-40,Male,Volta,Central Tongu,Rural area [village/farm],Yes,No,No,No,No,No,No,No,6,24,In my home or compound,15,The same as before,Yes,No,No,No,No,No,No,No,6,24,15
UPS8966932763197439592,Ghana,11-17-2020,1980,40,25-40,Male,Northern,Nanton,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,3,The same as before,No,No,No,No,No,No,Yes,No,0,0,500
UPS-6270975410571135996,Ghana,11-23-2020,1999,21,15-24,Male,Northern,Zabzugu,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,I must walk to it,4,The same as before,No,No,Yes,No,No,No,No,No,0,0,4
UPS-1970468475916842096,Ghana,11-19-2020,1983,37,25-40,Female,Brong-Ahafo,Dormaa West,Urban area [city/town],No,No,Yes,No,No,No,No,No,0,0,In my home or compound,70,The same as before,No,No,No,Yes,No,No,No,No,0,0,40
UPS7576386565455954474,Ghana,11-17-2020,1994,26,25-40,Female,Northern,Sawla Tuna Kalba,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,7,The same as before,No,No,Yes,No,No,No,No,No,0,0,7
UPS265095753837895466,Ghana,11-17-2020,1991,29,25-40,Male,Northern,West Gonja,Rural area [village/farm],No,Yes,No,No,No,No,No,No,7,2,I must walk to it,2,More difficult,No,Yes,No,No,No,No,No,No,2,3,20
UPS4972735222484542043,Ghana,11-24-2020,1986,34,25-40,Male,Brong-Ahafo,Asutifi North,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,In my home or compound,1,More difficult,No,No,Yes,No,No,No,No,No,0,0,50
UPS4765295389230885235,Ghana,11-17-2020,1995,25,25-40,Female,Brong-Ahafo,Kintampo North,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,80,The same as before,No,No,No,Yes,No,No,No,No,0,0,80
UPS3544653826663312825,Ghana,11-24-2020,1990,30,25-40,Male,Northern,Kpandai,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,50,The same as before,No,No,No,No,No,No,Yes,No,0,0,0
UPS8894534252212278773,Ghana,11-17-2020,1992,28,25-40,Male,Northern,Kpandai,Urban area [city/town],No,Yes,No,No,No,No,No,No,2,2,Neighbor,10,More difficult,No,No,No,Yes,No,No,No,No,0,0,50
UPS3065211721010460018,Ghana,11-23-2020,1999,21,15-24,Female,Northern,Kpandai,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,1,The same as before,No,No,Yes,No,No,No,No,No,0,0,1
UPS-2180552198200711899,Ghana,11-17-2020,1992,28,25-40,Male,Volta,Ho West,Rural area [village/farm],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,75,The same as before,No,No,No,Yes,No,No,No,No,0,0,75
UPS-4649278876821390268,Ghana,11-21-2020,1990,30,25-40,Male,Northern,Nanton,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,Neighbor,15,Easier,No,No,Yes,No,No,No,No,No,0,0,25
UPS-6651251012003231720,Ghana,11-23-2020,1998,22,15-24,Male,Volta,Ketu North,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,Neighbor,3,The same as before,Yes,No,No,No,No,No,No,No,5,5,300
UPS6607265252767818971,Ghana,11-25-2020,1967,53,40+,Male,Brong-Ahafo,Asutifi South,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,Neighbor,1,The same as before,No,No,No,No,Yes,No,No,No,0,0,4
